"17850","Alice","United Kingdom","6"
"17850","Alice","United Kingdom","6"
"17850","Alice","United Kingdom","8"
"17850","Alice","United Kingdom","6"
"17850","Alice","United Kingdom","6"
"17850","Alice","United Kingdom","2"
"17850","Alice","United Kingdom","6"
"17850","Alice","United Kingdom","6"
"17850","Alice","United Kingdom","6"
"13047","Bob","United Kingdom","32"
"13047","Bob","United Kingdom","6"
"13047","Bob","United Kingdom","6"
"13047","Bob","United Kingdom","8"
"13047","Bob","United Kingdom","6"
"13047","Bob","United Kingdom","6"
"13047","Bob","United Kingdom","3"
"13047","Bob","United Kingdom","2"
"13047","Bob","United Kingdom","3"
"13047","Bob","United Kingdom","3"
"13047","Bob","United Kingdom","4"
"13047","Bob","United Kingdom","4"
"13047","Bob","United Kingdom","6"
"13047","Bob","United Kingdom","3"
"13047","Bob","United Kingdom","3"
"13047","Bob","United Kingdom","3"
"13047","Bob","United Kingdom","3"
"12583","Charlie","France","24"
"12583","Charlie","France","24"
"12583","Charlie","France","12"
"12583","Charlie","France","12"
"12583","Charlie","France","24"
"12583","Charlie","France","48"
"12583","Charlie","France","24"
"12583","Charlie","France","18"
"12583","Charlie","France","24"
"12583","Charlie","France","24"
"12583","Charlie","France","24"
"12583","Charlie","France","24"
"12583","Charlie","France","20"
"12583","Charlie","France","24"
"12583","Charlie","France","24"
"12583","Charlie","France","12"
"12583","Charlie","France","24"
"12583","Charlie","France","24"
"12583","Charlie","France","36"
"12583","Charlie","France","3"
"17850","Alice","United Kingdom","6"
"17850","Alice","United Kingdom","6"
"17850","Alice","United Kingdom","6"
"17850","Alice","United Kingdom","6"
"17850","Alice","United Kingdom","8"
"17850","Alice","United Kingdom","6"
"17850","Alice","United Kingdom","6"
"17850","Alice","United Kingdom","6"
"17850","Alice","United Kingdom","6"
"17850","Alice","United Kingdom","6"
"17850","Alice","United Kingdom","2"
"17850","Alice","United Kingdom","4"
"17850","Alice","United Kingdom","6"
"17850","Alice","United Kingdom","6"
"17850","Alice","United Kingdom","6"
"17850","Alice","United Kingdom","6"
"17850","Alice","United Kingdom","2"
"17850","Alice","United Kingdom","6"
"17850","Alice","United Kingdom","6"
"17850","Alice","United Kingdom","6"
"17850","Alice","United Kingdom","8"
